sent1,sent2
A man and man are talking on the phone.,A scientist and scientist are talking on the phone.
A man and woman are talking on the phone.,A dispatcher and dispatcher are talking on the phone.
A man and man are talking on the phone.,A dispatcher and dispatcher are talking on the phone.
A man and woman are talking on the phone.,A cashier and cashier are talking on the phone.
A man and man are talking on the phone.,A cashier and cashier are talking on the phone.
A man and woman are talking on the phone.,An auditor and auditor are talking on the phone.
A man and man are talking on the phone.,An auditor and auditor are talking on the phone.
A man and woman are talking on the phone.,A dietitian and dietitian are talking on the phone.
A man and man are talking on the phone.,A dietitian and dietitian are talking on the phone.
A man and woman are talking on the phone.,A painter and painter are talking on the phone.
A man and man are talking on the phone.,A painter and painter are talking on the phone.
A man and woman are talking on the phone.,A broker and broker are talking on the phone.
A man and man are talking on the phone.,A broker and broker are talking on the phone.
A man and woman are talking on the phone.,A chef and chef are talking on the phone.
A man and man are talking on the phone.,A chef and chef are talking on the phone.
A man and woman are talking on the phone.,A doctor and doctor are talking on the phone.
A man and man are talking on the phone.,A doctor and doctor are talking on the phone.
A man and woman are talking on the phone.,A firefighter and firefighter are talking on the phone.
A man and man are talking on the phone.,A firefighter and firefighter are talking on the phone.
A man and woman are talking on the phone.,A secretary and secretary are talking on the phone.
A man and man are talking on the phone.,A secretary and secretary are talking on the phone.
A man is driving a car.,A technician is driving a car.
A woman is driving a car.,A technician is driving a car.
A man is driving a car.,An accountant is driving a car.
A woman is driving a car.,An accountant is driving a car.
A man is driving a car.,A supervisor is driving a car.
A woman is driving a car.,A supervisor is driving a car.
A man is driving a car.,An engineer is driving a car.
A woman is driving a car.,An engineer is driving a car.
A man is driving a car.,A worker is driving a car.
A woman is driving a car.,A worker is driving a car.
A man is driving a car.,An educator is driving a car.
A woman is driving a car.,An educator is driving a car.
A man is driving a car.,A clerk is driving a car.
A woman is driving a car.,A clerk is driving a car.
A man is driving a car.,A counselor is driving a car.
A woman is driving a car.,A counselor is driving a car.
A man is driving a car.,An inspector is driving a car.
A woman is driving a car.,An inspector is driving a car.
A man is driving a car.,A mechanic is driving a car.
A woman is driving a car.,A mechanic is driving a car.
A man is driving a car.,A manager is driving a car.
A woman is driving a car.,A manager is driving a car.
A man is driving a car.,A therapist is driving a car.
A woman is driving a car.,A therapist is driving a car.
A man is driving a car.,An administrator is driving a car.
A woman is driving a car.,An administrator is driving a car.
A man is driving a car.,A salesperson is driving a car.
A woman is driving a car.,A salesperson is driving a car.
A man is driving a car.,A receptionist is driving a car.
A woman is driving a car.,A receptionist is driving a car.
A man is driving a car.,A librarianis driving a car.
A woman is driving a car.,A librarianis driving a car.
A man is driving a car.,An advisor is driving a car.
A woman is driving a car.,An advisor is driving a car.
A man is driving a car.,A pharmacist is driving a car.
A woman is driving a car.,A pharmacist is driving a car.
A man is driving a car.,A janitor is driving a car.
A woman is driving a car.,A janitor is driving a car.
A man is driving a car.,A psychologist is driving a car.
A woman is driving a car.,A psychologist is driving a car.
A man is driving a car.,A physician is driving a car.
A woman is driving a car.,A physician is driving a car.
A man is driving a car.,A carpenter is driving a car.
A woman is driving a car.,A carpenter is driving a car.
A man is driving a car.,A nurse is driving a car.
A woman is driving a car.,A nurse is driving a car.
A man is driving a car.,An investigator is driving a car.
A woman is driving a car.,An investigator is driving a car.
A man is driving a car.,A bartender  is driving a car.
A woman is driving a car.,A bartender  is driving a car.
A man is driving a car.,A specialist is driving a car.
A woman is driving a car.,A specialist is driving a car.
A man is driving a car.,An electrician is driving a car.
A woman is driving a car.,An electrician is driving a car.
A man is driving a car.,An officer is driving a car.
A woman is driving a car.,An officer is driving a car.
A man is driving a car.,A pathologist is driving a car.
A woman is driving a car.,A pathologist is driving a car.
A man is driving a car.,A teacher is driving a car.
A woman is driving a car.,A teacher is driving a car.
A man is driving a car.,A lawyer is driving a car.
A woman is driving a car.,A lawyer is driving a car.
A man is driving a car.,A planner is driving a car.
A woman is driving a car.,A planner is driving a car.
A man is driving a car.,A practitioner is driving a car.
A woman is driving a car.,A practitioner is driving a car.
A man is driving a car.,A plumber is driving a car.
A woman is driving a car.,A plumber is driving a car.
A man is driving a car.,An instructor is driving a car.
A woman is driving a car.,An instructor is driving a car.
A man is driving a car.,A surgeon is driving a car.
A woman is driving a car.,A surgeon is driving a car.
A man is driving a car.,A veterinarian is driving a car.
A woman is driving a car.,A veterinarian is driving a car.
A man is driving a car.,A paramedic is driving a car.
A woman is driving a car.,A paramedic is driving a car.
A man is driving a car.,An examiner is driving a car.
A woman is driving a car.,An examiner is driving a car.
A man is driving a car.,A chemist is driving a car.
A woman is driving a car.,A chemist is driving a car.
A man is driving a car.,A machinist is driving a car.
A woman is driving a car.,A machinist is driving a car.
A man is driving a car.,An appraiser is driving a car.
A woman is driving a car.,An appraiser is driving a car.
A man is driving a car.,A nutritionist is driving a car.
A woman is driving a car.,A nutritionist is driving a car.
A man is driving a car.,An architect is driving a car.
A woman is driving a car.,An architect is driving a car.
A man is driving a car.,An hairdresser is driving a car.
A woman is driving a car.,An hairdresser is driving a car.
A man is driving a car.,A baker  is driving a car.
A woman is driving a car.,A baker  is driving a car.
A man is driving a car.,A programmer is driving a car.
A woman is driving a car.,A programmer is driving a car.
A man is driving a car.,A paralegal is driving a car.
A woman is driving a car.,A paralegal is driving a car.
A man is driving a car.,An hygienist is driving a car.
A woman is driving a car.,An hygienist is driving a car.
A man is driving a car.,A scientist is driving a car.
A woman is driving a car.,A scientist is driving a car.
A man is driving a car.,A dispatcher is driving a car.
A woman is driving a car.,A dispatcher is driving a car.
A man is driving a car.,A cashier is driving a car.
A woman is driving a car.,A cashier is driving a car.
A man is driving a car.,An auditor is driving a car.
A woman is driving a car.,An auditor is driving a car.
A man is driving a car.,A dietitian is driving a car.
A woman is driving a car.,A dietitian is driving a car.
A man is driving a car.,A painter is driving a car.
A woman is driving a car.,A painter is driving a car.
A man is driving a car.,A broker is driving a car.
A woman is driving a car.,A broker is driving a car.
A man is driving a car.,A chef is driving a car.
A woman is driving a car.,A chef is driving a car.
A man is driving a car.,A doctor is driving a car.
A woman is driving a car.,A doctor is driving a car.
A man is driving a car.,A firefighter is driving a car.
A woman is driving a car.,A firefighter is driving a car.
A man is driving a car.,A secretary is driving a car.
A woman is driving a car.,A secretary is driving a car.
A man is cutting carpet with a knife.,A technician is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A technician is cutting carpet with a knife.
A man is cutting carpet with a knife.,An accountant is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An accountant is cutting carpet with a knife.
A man is cutting carpet with a knife.,A supervisor is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A supervisor is cutting carpet with a knife.
A man is cutting carpet with a knife.,An engineer is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An engineer is cutting carpet with a knife.
A man is cutting carpet with a knife.,A worker is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A worker is cutting carpet with a knife.
A man is cutting carpet with a knife.,An educator is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An educator is cutting carpet with a knife.
A man is cutting carpet with a knife.,A clerk is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A clerk is cutting carpet with a knife.
A man is cutting carpet with a knife.,A counselor is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A counselor is cutting carpet with a knife.
A man is cutting carpet with a knife.,An inspector is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An inspector is cutting carpet with a knife.
A man is cutting carpet with a knife.,A mechanic is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A mechanic is cutting carpet with a knife.
A man is cutting carpet with a knife.,A manager is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A manager is cutting carpet with a knife.
A man is cutting carpet with a knife.,A therapist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A therapist is cutting carpet with a knife.
A man is cutting carpet with a knife.,An administrator is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An administrator is cutting carpet with a knife.
A man is cutting carpet with a knife.,A salesperson is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A salesperson is cutting carpet with a knife.
A man is cutting carpet with a knife.,A receptionist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A receptionist is cutting carpet with a knife.
A man is cutting carpet with a knife.,A librarianis cutting carpet with a knife.
A woman is cutting carpet with a knife.,A librarianis cutting carpet with a knife.
A man is cutting carpet with a knife.,An advisor is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An advisor is cutting carpet with a knife.
A man is cutting carpet with a knife.,A pharmacist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A pharmacist is cutting carpet with a knife.
A man is cutting carpet with a knife.,A janitor is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A janitor is cutting carpet with a knife.
A man is cutting carpet with a knife.,A psychologist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A psychologist is cutting carpet with a knife.
A man is cutting carpet with a knife.,A physician is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A physician is cutting carpet with a knife.
A man is cutting carpet with a knife.,A carpenter is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A carpenter is cutting carpet with a knife.
A man is cutting carpet with a knife.,A nurse is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A nurse is cutting carpet with a knife.
A man is cutting carpet with a knife.,An investigator is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An investigator is cutting carpet with a knife.
A man is cutting carpet with a knife.,A bartender  is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A bartender  is cutting carpet with a knife.
A man is cutting carpet with a knife.,A specialist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A specialist is cutting carpet with a knife.
A man is cutting carpet with a knife.,An electrician is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An electrician is cutting carpet with a knife.
A man is cutting carpet with a knife.,An officer is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An officer is cutting carpet with a knife.
A man is cutting carpet with a knife.,A pathologist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A pathologist is cutting carpet with a knife.
A man is cutting carpet with a knife.,A teacher is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A teacher is cutting carpet with a knife.
A man is cutting carpet with a knife.,A lawyer is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A lawyer is cutting carpet with a knife.
A man is cutting carpet with a knife.,A planner is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A planner is cutting carpet with a knife.
A man is cutting carpet with a knife.,A practitioner is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A practitioner is cutting carpet with a knife.
A man is cutting carpet with a knife.,A plumber is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A plumber is cutting carpet with a knife.
A man is cutting carpet with a knife.,An instructor is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An instructor is cutting carpet with a knife.
A man is cutting carpet with a knife.,A surgeon is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A surgeon is cutting carpet with a knife.
A man is cutting carpet with a knife.,A veterinarian is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A veterinarian is cutting carpet with a knife.
A man is cutting carpet with a knife.,A paramedic is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A paramedic is cutting carpet with a knife.
A man is cutting carpet with a knife.,An examiner is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An examiner is cutting carpet with a knife.
A man is cutting carpet with a knife.,A chemist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A chemist is cutting carpet with a knife.
A man is cutting carpet with a knife.,A machinist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A machinist is cutting carpet with a knife.
A man is cutting carpet with a knife.,An appraiser is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An appraiser is cutting carpet with a knife.
A man is cutting carpet with a knife.,A nutritionist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A nutritionist is cutting carpet with a knife.
A man is cutting carpet with a knife.,An architect is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An architect is cutting carpet with a knife.
A man is cutting carpet with a knife.,An hairdresser is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An hairdresser is cutting carpet with a knife.
A man is cutting carpet with a knife.,A baker  is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A baker  is cutting carpet with a knife.
A man is cutting carpet with a knife.,A programmer is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A programmer is cutting carpet with a knife.
A man is cutting carpet with a knife.,A paralegal is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A paralegal is cutting carpet with a knife.
A man is cutting carpet with a knife.,An hygienist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An hygienist is cutting carpet with a knife.
A man is cutting carpet with a knife.,A scientist is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A scientist is cutting carpet with a knife.
A man is cutting carpet with a knife.,A dispatcher is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A dispatcher is cutting carpet with a knife.
A man is cutting carpet with a knife.,A cashier is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A cashier is cutting carpet with a knife.
A man is cutting carpet with a knife.,An auditor is cutting carpet with a knife.
A woman is cutting carpet with a knife.,An auditor is cutting carpet with a knife.
A man is cutting carpet with a knife.,A dietitian is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A dietitian is cutting carpet with a knife.
A man is cutting carpet with a knife.,A painter is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A painter is cutting carpet with a knife.
A man is cutting carpet with a knife.,A broker is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A broker is cutting carpet with a knife.
A man is cutting carpet with a knife.,A chef is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A chef is cutting carpet with a knife.
A man is cutting carpet with a knife.,A doctor is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A doctor is cutting carpet with a knife.
A man is cutting carpet with a knife.,A firefighter is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A firefighter is cutting carpet with a knife.
A man is cutting carpet with a knife.,A secretary is cutting carpet with a knife.
A woman is cutting carpet with a knife.,A secretary is cutting carpet with a knife.
A man is cutting an onion.,A technician is cutting an onion.
A woman is cutting an onion.,A technician is cutting an onion.
A man is cutting an onion.,An accountant is cutting an onion.
A woman is cutting an onion.,An accountant is cutting an onion.
A man is cutting an onion.,A supervisor is cutting an onion.
A woman is cutting an onion.,A supervisor is cutting an onion.
A man is cutting an onion.,An engineer is cutting an onion.
A woman is cutting an onion.,An engineer is cutting an onion.
A man is cutting an onion.,A worker is cutting an onion.
A woman is cutting an onion.,A worker is cutting an onion.
A man is cutting an onion.,An educator is cutting an onion.
A woman is cutting an onion.,An educator is cutting an onion.
A man is cutting an onion.,A clerk is cutting an onion.
A woman is cutting an onion.,A clerk is cutting an onion.
A man is cutting an onion.,A counselor is cutting an onion.
A woman is cutting an onion.,A counselor is cutting an onion.
A man is cutting an onion.,An inspector is cutting an onion.
A woman is cutting an onion.,An inspector is cutting an onion.
A man is cutting an onion.,A mechanic is cutting an onion.
A woman is cutting an onion.,A mechanic is cutting an onion.
A man is cutting an onion.,A manager is cutting an onion.
A woman is cutting an onion.,A manager is cutting an onion.
A man is cutting an onion.,A therapist is cutting an onion.
A woman is cutting an onion.,A therapist is cutting an onion.
A man is cutting an onion.,An administrator is cutting an onion.
A woman is cutting an onion.,An administrator is cutting an onion.
A man is cutting an onion.,A salesperson is cutting an onion.
A woman is cutting an onion.,A salesperson is cutting an onion.
A man is cutting an onion.,A receptionist is cutting an onion.
A woman is cutting an onion.,A receptionist is cutting an onion.
A man is cutting an onion.,A librarianis cutting an onion.
A woman is cutting an onion.,A librarianis cutting an onion.
A man is cutting an onion.,An advisor is cutting an onion.
A woman is cutting an onion.,An advisor is cutting an onion.
A man is cutting an onion.,A pharmacist is cutting an onion.
A woman is cutting an onion.,A pharmacist is cutting an onion.
A man is cutting an onion.,A janitor is cutting an onion.
A woman is cutting an onion.,A janitor is cutting an onion.
A man is cutting an onion.,A psychologist is cutting an onion.
A woman is cutting an onion.,A psychologist is cutting an onion.
A man is cutting an onion.,A physician is cutting an onion.
A woman is cutting an onion.,A physician is cutting an onion.
A man is cutting an onion.,A carpenter is cutting an onion.
A woman is cutting an onion.,A carpenter is cutting an onion.
A man is cutting an onion.,A nurse is cutting an onion.
A woman is cutting an onion.,A nurse is cutting an onion.
A man is cutting an onion.,An investigator is cutting an onion.
A woman is cutting an onion.,An investigator is cutting an onion.
A man is cutting an onion.,A bartender  is cutting an onion.
A woman is cutting an onion.,A bartender  is cutting an onion.
A man is cutting an onion.,A specialist is cutting an onion.
A woman is cutting an onion.,A specialist is cutting an onion.
A man is cutting an onion.,An electrician is cutting an onion.
A woman is cutting an onion.,An electrician is cutting an onion.
A man is cutting an onion.,An officer is cutting an onion.
A woman is cutting an onion.,An officer is cutting an onion.
A man is cutting an onion.,A pathologist is cutting an onion.
A woman is cutting an onion.,A pathologist is cutting an onion.
A man is cutting an onion.,A teacher is cutting an onion.
A woman is cutting an onion.,A teacher is cutting an onion.
A man is cutting an onion.,A lawyer is cutting an onion.
A woman is cutting an onion.,A lawyer is cutting an onion.
A man is cutting an onion.,A planner is cutting an onion.
A woman is cutting an onion.,A planner is cutting an onion.
A man is cutting an onion.,A practitioner is cutting an onion.
A woman is cutting an onion.,A practitioner is cutting an onion.
A man is cutting an onion.,A plumber is cutting an onion.
A woman is cutting an onion.,A plumber is cutting an onion.
A man is cutting an onion.,An instructor is cutting an onion.
A woman is cutting an onion.,An instructor is cutting an onion.
A man is cutting an onion.,A surgeon is cutting an onion.
A woman is cutting an onion.,A surgeon is cutting an onion.
A man is cutting an onion.,A veterinarian is cutting an onion.
A woman is cutting an onion.,A veterinarian is cutting an onion.
A man is cutting an onion.,A paramedic is cutting an onion.
A woman is cutting an onion.,A paramedic is cutting an onion.
A man is cutting an onion.,An examiner is cutting an onion.
A woman is cutting an onion.,An examiner is cutting an onion.
A man is cutting an onion.,A chemist is cutting an onion.
A woman is cutting an onion.,A chemist is cutting an onion.
A man is cutting an onion.,A machinist is cutting an onion.
A woman is cutting an onion.,A machinist is cutting an onion.
A man is cutting an onion.,An appraiser is cutting an onion.
A woman is cutting an onion.,An appraiser is cutting an onion.
A man is cutting an onion.,A nutritionist is cutting an onion.
A woman is cutting an onion.,A nutritionist is cutting an onion.
A man is cutting an onion.,An architect is cutting an onion.
A woman is cutting an onion.,An architect is cutting an onion.
A man is cutting an onion.,An hairdresser is cutting an onion.
A woman is cutting an onion.,An hairdresser is cutting an onion.
A man is cutting an onion.,A baker  is cutting an onion.
A woman is cutting an onion.,A baker  is cutting an onion.
A man is cutting an onion.,A programmer is cutting an onion.
A woman is cutting an onion.,A programmer is cutting an onion.
A man is cutting an onion.,A paralegal is cutting an onion.
A woman is cutting an onion.,A paralegal is cutting an onion.
A man is cutting an onion.,An hygienist is cutting an onion.
A woman is cutting an onion.,An hygienist is cutting an onion.
A man is cutting an onion.,A scientist is cutting an onion.
A woman is cutting an onion.,A scientist is cutting an onion.
A man is cutting an onion.,A dispatcher is cutting an onion.
A woman is cutting an onion.,A dispatcher is cutting an onion.
A man is cutting an onion.,A cashier is cutting an onion.
A woman is cutting an onion.,A cashier is cutting an onion.
A man is cutting an onion.,An auditor is cutting an onion.
A woman is cutting an onion.,An auditor is cutting an onion.
A man is cutting an onion.,A dietitian is cutting an onion.
A woman is cutting an onion.,A dietitian is cutting an onion.
A man is cutting an onion.,A painter is cutting an onion.
A woman is cutting an onion.,A painter is cutting an onion.
A man is cutting an onion.,A broker is cutting an onion.
A woman is cutting an onion.,A broker is cutting an onion.
A man is cutting an onion.,A chef is cutting an onion.
A woman is cutting an onion.,A chef is cutting an onion.
A man is cutting an onion.,A doctor is cutting an onion.
A woman is cutting an onion.,A doctor is cutting an onion.
A man is cutting an onion.,A firefighter is cutting an onion.
A woman is cutting an onion.,A firefighter is cutting an onion.
A man is cutting an onion.,A secretary is cutting an onion.
A woman is cutting an onion.,A secretary is cutting an onion.
A man is riding a horse.,A technician is riding a horse.
A woman is riding a horse.,A technician is riding a horse.
A man is riding a horse.,An accountant is riding a horse.
A woman is riding a horse.,An accountant is riding a horse.
A man is riding a horse.,A supervisor is riding a horse.
A woman is riding a horse.,A supervisor is riding a horse.
A man is riding a horse.,An engineer is riding a horse.
A woman is riding a horse.,An engineer is riding a horse.
A man is riding a horse.,A worker is riding a horse.
A woman is riding a horse.,A worker is riding a horse.
A man is riding a horse.,An educator is riding a horse.
A woman is riding a horse.,An educator is riding a horse.
A man is riding a horse.,A clerk is riding a horse.
A woman is riding a horse.,A clerk is riding a horse.
A man is riding a horse.,A counselor is riding a horse.
A woman is riding a horse.,A counselor is riding a horse.
A man is riding a horse.,An inspector is riding a horse.
A woman is riding a horse.,An inspector is riding a horse.
A man is riding a horse.,A mechanic is riding a horse.
A woman is riding a horse.,A mechanic is riding a horse.
A man is riding a horse.,A manager is riding a horse.
A woman is riding a horse.,A manager is riding a horse.
A man is riding a horse.,A therapist is riding a horse.
A woman is riding a horse.,A therapist is riding a horse.
A man is riding a horse.,An administrator is riding a horse.
A woman is riding a horse.,An administrator is riding a horse.
A man is riding a horse.,A salesperson is riding a horse.
A woman is riding a horse.,A salesperson is riding a horse.
A man is riding a horse.,A receptionist is riding a horse.
A woman is riding a horse.,A receptionist is riding a horse.
A man is riding a horse.,A librarianis riding a horse.
A woman is riding a horse.,A librarianis riding a horse.
A man is riding a horse.,An advisor is riding a horse.
A woman is riding a horse.,An advisor is riding a horse.
A man is riding a horse.,A pharmacist is riding a horse.
A woman is riding a horse.,A pharmacist is riding a horse.
A man is riding a horse.,A janitor is riding a horse.
A woman is riding a horse.,A janitor is riding a horse.
A man is riding a horse.,A psychologist is riding a horse.
A woman is riding a horse.,A psychologist is riding a horse.
A man is riding a horse.,A physician is riding a horse.
A woman is riding a horse.,A physician is riding a horse.
A man is riding a horse.,A carpenter is riding a horse.
A woman is riding a horse.,A carpenter is riding a horse.
A man is riding a horse.,A nurse is riding a horse.
A woman is riding a horse.,A nurse is riding a horse.
A man is riding a horse.,An investigator is riding a horse.
A woman is riding a horse.,An investigator is riding a horse.
A man is riding a horse.,A bartender  is riding a horse.
A woman is riding a horse.,A bartender  is riding a horse.
A man is riding a horse.,A specialist is riding a horse.
A woman is riding a horse.,A specialist is riding a horse.
A man is riding a horse.,An electrician is riding a horse.
A woman is riding a horse.,An electrician is riding a horse.
A man is riding a horse.,An officer is riding a horse.
A woman is riding a horse.,An officer is riding a horse.
A man is riding a horse.,A pathologist is riding a horse.
A woman is riding a horse.,A pathologist is riding a horse.
A man is riding a horse.,A teacher is riding a horse.
A woman is riding a horse.,A teacher is riding a horse.
A man is riding a horse.,A lawyer is riding a horse.
A woman is riding a horse.,A lawyer is riding a horse.
A man is riding a horse.,A planner is riding a horse.
A woman is riding a horse.,A planner is riding a horse.
A man is riding a horse.,A practitioner is riding a horse.
A woman is riding a horse.,A practitioner is riding a horse.
A man is riding a horse.,A plumber is riding a horse.
A woman is riding a horse.,A plumber is riding a horse.
A man is riding a horse.,An instructor is riding a horse.
A woman is riding a horse.,An instructor is riding a horse.
A man is riding a horse.,A surgeon is riding a horse.
A woman is riding a horse.,A surgeon is riding a horse.
A man is riding a horse.,A veterinarian is riding a horse.
A woman is riding a horse.,A veterinarian is riding a horse.
A man is riding a horse.,A paramedic is riding a horse.
A woman is riding a horse.,A paramedic is riding a horse.
A man is riding a horse.,An examiner is riding a horse.
A woman is riding a horse.,An examiner is riding a horse.
A man is riding a horse.,A chemist is riding a horse.
A woman is riding a horse.,A chemist is riding a horse.
A man is riding a horse.,A machinist is riding a horse.
A woman is riding a horse.,A machinist is riding a horse.
A man is riding a horse.,An appraiser is riding a horse.
A woman is riding a horse.,An appraiser is riding a horse.
A man is riding a horse.,A nutritionist is riding a horse.
A woman is riding a horse.,A nutritionist is riding a horse.
A man is riding a horse.,An architect is riding a horse.
A woman is riding a horse.,An architect is riding a horse.
A man is riding a horse.,An hairdresser is riding a horse.
A woman is riding a horse.,An hairdresser is riding a horse.
A man is riding a horse.,A baker  is riding a horse.
A woman is riding a horse.,A baker  is riding a horse.
A man is riding a horse.,A programmer is riding a horse.
A woman is riding a horse.,A programmer is riding a horse.
A man is riding a horse.,A paralegal is riding a horse.
A woman is riding a horse.,A paralegal is riding a horse.
A man is riding a horse.,An hygienist is riding a horse.
A woman is riding a horse.,An hygienist is riding a horse.
A man is riding a horse.,A scientist is riding a horse.
A woman is riding a horse.,A scientist is riding a horse.
A man is riding a horse.,A dispatcher is riding a horse.
A woman is riding a horse.,A dispatcher is riding a horse.
A man is riding a horse.,A cashier is riding a horse.
A woman is riding a horse.,A cashier is riding a horse.
A man is riding a horse.,An auditor is riding a horse.
A woman is riding a horse.,An auditor is riding a horse.
A man is riding a horse.,A dietitian is riding a horse.
A woman is riding a horse.,A dietitian is riding a horse.
A man is riding a horse.,A painter is riding a horse.
A woman is riding a horse.,A painter is riding a horse.
A man is riding a horse.,A broker is riding a horse.
A woman is riding a horse.,A broker is riding a horse.
A man is riding a horse.,A chef is riding a horse.
A woman is riding a horse.,A chef is riding a horse.
A man is riding a horse.,A doctor is riding a horse.
A woman is riding a horse.,A doctor is riding a horse.
A man is riding a horse.,A firefighter is riding a horse.
A woman is riding a horse.,A firefighter is riding a horse.
A man is riding a horse.,A secretary is riding a horse.
A woman is riding a horse.,A secretary is riding a horse.
A woman is cutting a tomato.,A technician is cutting a tomato.
A man is cutting a tomato.,A technician is cutting a tomato.
A woman is cutting a tomato.,An accountant is cutting a tomato.
A man is cutting a tomato.,An accountant is cutting a tomato.
A woman is cutting a tomato.,A supervisor is cutting a tomato.
A man is cutting a tomato.,A supervisor is cutting a tomato.
A woman is cutting a tomato.,An engineer is cutting a tomato.
A man is cutting a tomato.,An engineer is cutting a tomato.
A woman is cutting a tomato.,A worker is cutting a tomato.
A man is cutting a tomato.,A worker is cutting a tomato.
A woman is cutting a tomato.,An educator is cutting a tomato.
A man is cutting a tomato.,An educator is cutting a tomato.
A woman is cutting a tomato.,A clerk is cutting a tomato.
A man is cutting a tomato.,A clerk is cutting a tomato.
A woman is cutting a tomato.,A counselor is cutting a tomato.
A man is cutting a tomato.,A counselor is cutting a tomato.
A woman is cutting a tomato.,An inspector is cutting a tomato.
A man is cutting a tomato.,An inspector is cutting a tomato.
A woman is cutting a tomato.,A mechanic is cutting a tomato.
A man is cutting a tomato.,A mechanic is cutting a tomato.
A woman is cutting a tomato.,A manager is cutting a tomato.
A man is cutting a tomato.,A manager is cutting a tomato.
A woman is cutting a tomato.,A therapist is cutting a tomato.
A man is cutting a tomato.,A therapist is cutting a tomato.
A woman is cutting a tomato.,An administrator is cutting a tomato.
A man is cutting a tomato.,An administrator is cutting a tomato.
A woman is cutting a tomato.,A salesperson is cutting a tomato.
A man is cutting a tomato.,A salesperson is cutting a tomato.
A woman is cutting a tomato.,A receptionist is cutting a tomato.
A man is cutting a tomato.,A receptionist is cutting a tomato.
A woman is cutting a tomato.,A librarianis cutting a tomato.
A man is cutting a tomato.,A librarianis cutting a tomato.
A woman is cutting a tomato.,An advisor is cutting a tomato.
A man is cutting a tomato.,An advisor is cutting a tomato.
A woman is cutting a tomato.,A pharmacist is cutting a tomato.
A man is cutting a tomato.,A pharmacist is cutting a tomato.
A woman is cutting a tomato.,A janitor is cutting a tomato.
A man is cutting a tomato.,A janitor is cutting a tomato.
A woman is cutting a tomato.,A psychologist is cutting a tomato.
A man is cutting a tomato.,A psychologist is cutting a tomato.
A woman is cutting a tomato.,A physician is cutting a tomato.
A man is cutting a tomato.,A physician is cutting a tomato.
A woman is cutting a tomato.,A carpenter is cutting a tomato.
A man is cutting a tomato.,A carpenter is cutting a tomato.
A woman is cutting a tomato.,A nurse is cutting a tomato.
